 Destination Port, Flow Duration, Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min,Bwd Packet Length Max, Bwd Packet Length Min,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Init_Win_bytes_forward, Init_Win_bytes_backward,Active Mean, Active Std, Active Max, Idle Std, Label
80,85642066,8,678,336,0,5792,0,143.30574,0.16347107,6587851.0,23600000.0,1,366315,73263.0,104890.914,226879,0,0,0,0,252,200,0.07005903,0,0,0,0,1,0,0,0,0,0,0,0,0,251,235,5.0,0.0,5,0.0,DoS Hulk
443,25293820,5,31,31,0,0,0,1.2255958,0.31628278,3613402.8,4768316.0,3,20100000,10000000.0,137.88582,10000000,0,0,0,0,160,96,0.118606046,0,0,0,0,1,0,0,0,0,0,0,0,0,354,137,22203.0,165.50226,22334,2799908.0,BENIGN
80,85335332,10,344,344,0,5792,0,139.90688,0.1874956,5689022.0,21800000.0,0,1201,240.2,350.67892,825,0,0,0,0,336,200,0.07031085,0,0,0,0,1,0,0,0,0,0,0,0,0,251,235,1996.0,0.0,1996,0.0,DoS Hulk
80,63153091,7,0,0,0,0,0,0.0,0.110841766,10500000.0,11900000.0,997614,0,0.0,0.0,0,0,0,0,0,280,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,29200,-1,7009583.0,0.0,7009583,12300000.0,Other
80,50085825,2,0,0,0,0,0,0.0,0.039931457,50100000.0,0.0,50100000,0,0.0,0.0,0,0,0,0,0,64,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,284,-1,0.0,0.0,0,0.0,DoS GoldenEye
80,98167198,4,333,327,0,5803,0,121.50698,0.10186702,10900000.0,32700000.0,2,1514,302.8,566.8335,1315,0,0,0,0,124,200,0.061120212,0,1,0,0,0,0,1,0,0,0,0,0,0,0,235,0.0,0.0,0,0.0,DoS Hulk
80,95932122,8,56,20,0,10135,0,121.57555,0.13551249,7994343.5,26300000.0,1,1792409,448102.25,895452.56,1791281,0,0,0,0,172,112,0.052120186,0,0,0,0,1,0,0,0,0,0,0,0,0,256,229,2523066.0,0.0,2523066,0.0,DDoS
80,461234,3,26,20,0,5840,0,25221.47,19.512873,57654.25,162682.3,3,461170,92234.0,205739.8,460272,0,0,0,0,72,132,13.008581,0,0,0,1,0,0,2,0,0,0,0,0,0,8192,229,0.0,0.0,0,0.0,DDoS
80,1759859,3,26,20,0,10135,0,6606.7793,3.9775913,293309.84,715122.7,50,1759809,586603.0,1010168.25,1753039,0,0,0,0,72,92,2.2729094,0,0,0,1,0,0,1,0,0,0,0,0,0,8192,229,0.0,0.0,0,0.0,DDoS
80,5004985,8,431,431,0,4344,0,2410.197,2.997012,357498.94,1335999.9,36,5004759,834126.5,2041664.4,5001656,0,0,0,0,264,232,1.3986056,0,0,0,1,0,0,0,0,0,0,0,0,0,29200,235,0.0,0.0,0,0.0,DoS GoldenEye
